code|name|vocabulary
A12CC01|magnesium chloride; oral, parenteral|ATC
A12CC02|magnesium sulfate; oral, parenteral|ATC
A12CC03|magnesium gluconate; oral|ATC
A12CC04|magnesium citrate; oral|ATC
A12CC05|magnesium aspartate|ATC
A12CC06|magnesium lactate|ATC
A12CC07|magnesium levulinate|ATC
A12CC08|magnesium pidolate|ATC
A12CC09|magnesium orotate|ATC
A12CC10|magnesium oxide|ATC
A12CC30|magnesium (different salts in combination)|ATC
A12CD01|sodium fluoride; oral|ATC
A12CD02|sodium monofluorophosphate; oral|ATC
A12CD51|fluoride, combinations|ATC
A12CE01|sodium selenate; oral|ATC
A12CE02|sodium selenite; oral, parenteral|ATC
A14AA01|androstanolone|ATC
A14AA02|stanozolol; oral, parenteral|ATC
A14AA03|metandienone; oral|ATC
A14AA04|metenolone; oral, parenteral|ATC
A14AA05|oxymetholone; oral|ATC
A14AA06|quinbolone|ATC
A14AA07|prasterone|ATC
A14AA08|oxandrolone|ATC
A14AA09|norethandrolone|ATC
A14AB01|nandrolone; parenteral|ATC
A14AB02|ethylestrenol; oral|ATC
A14AB03|oxabolone cipionate|ATC
A16AA01|levocarnitine; oral, parenteral|ATC
A16AA02|ademetionine|ATC
A16AA03|glutamine|ATC
A16AA04|mercaptamine; oral|ATC
A16AA05|carglumic acid; oral|ATC
A16AA06|betaine; oral|ATC
A16AA07|metreleptin|ATC
A16AB01|alglucerase|ATC
A16AB02|imiglucerase; parenteral|ATC
A16AB03|agalsidase alfa; parenteral|ATC
A16AB04|agalsidase beta; parenteral|ATC
A16AB05|laronidase; parenteral|ATC
A16AB06|sacrosidase; oral|ATC
A16AB07|alglucosidase alfa; parenteral|ATC
A16AB08|galsulfase|ATC
A16AB09|idursulfase|ATC
A16AB10|velaglucerase alfa; parenteral|ATC
A16AB11|taliglucerase alfa|ATC
A16AB12|elosulfase alfa; parenteral|ATC
A16AB13|asfotase alfa|ATC
